intent,Answer
77q10,"The Talathi plays a significant role in the implementation of the Maharashtra Land Revenue Code, 1966. They are responsible for maintaining a register of mutations, which includes recording reports of acquisitions or transfers of rights, as well as any objections to these entries. The Talathi must inform all interested parties of these mutations and objections. Additionally, disputes recorded in the register of disputed cases must be resolved within a year by a designated Revenue or Survey Officer. The Talathi's role is crucial in ensuring proper documentation and resolution of land-related matters as per the provisions of the Code."
78q1,"The Maharashtra Land Revenue Code of 1966 is a legal document that outlines regulations related to land revenue, record-keeping, and obligations of individuals regarding land rights, interests, and liabilities in the state of Maharashtra, India. It includes provisions for maintaining registers of mutations, tenancies, and land records, as well as rules for furnishing information, producing documents, and issuing booklets containing copies of the record of rights pertaining to agricultural land. The code also specifies procedures for certification of entries, acknowledgments of information or documents provided, and the collection of fees for preparing and maintaining booklets."
78q2,Entries in the register of mutations shall be certified by any Revenue or Survey Officer not below the rank of an Aval Karkun in such manner as may be prescribed.
78q3,"The obligation of a person whose rights, interests, or liabilities are required to be entered in a record or register is to furnish or produce, upon requisition by a Revenue Officer or Talathi, all necessary information or documents needed for the correct compilation or revision of the record or register within one month from the date of requisition."
78q4,"A holder of agricultural land can obtain a booklet containing a copy of the record of rights pertaining to their land by making a written application to the Talathi. Upon making the application, the Talathi will provide the booklet containing the necessary information as prescribed by the State Government. The booklet will include details about the land, payment of land revenue, cultivation details, and other relevant information. The process of obtaining and maintaining the booklet is governed by rules set by the State Government."
78q5,"The booklet provided to holders of agricultural land contains a copy of the record of rights pertaining to the land, information about the payment of land revenue and other government dues, details about the cultivation of the land, areas of crops sown, and any other matters as prescribed by the State Government."
78q6,"The Commissioner can specify the storage device for preparation, maintenance, and updation of all registers and documents under section 148A."
78q7,The State Government may direct that a register of tenancies shall be maintained in such manner and under such procedure as may be prescribed by rules made by the State Government. The specific procedure for maintaining a register of tenancies would be outlined in the rules established by the State Government for this purpose.
78q8,"Entries in the register of mutations are tested and, if found correct or after correction, they are certified by any Revenue or Survey Officer not below the rank of an Aval Karkun in a manner prescribed. Additionally, notice must be served on the parties concerned before certifying the entries."
78q9,"The role of a Revenue Officer or Talathi in the compilation or revision of records or registers includes requisitioning information or documents needed for correct compilation or revision, giving a written acknowledgment of information or documents received, endorsing the date of production on documents, and providing booklets containing copies of the record of rights to holders of agricultural land upon application. They also maintain registers of mutations and tenancies as prescribed by the State Government."
78q10,"The fees charged for preparing, issuing, and maintaining the booklet containing a copy of the record of rights for agricultural land holders may be specified in accordance with the rules made by the State Government. These fees may be retained by the Revenue Officer preparing, issuing, and maintaining the booklet, subject to any orders of the State Government."
79q1,"The Maharashtra Land Revenue Code of 1966 is a legal document that outlines rules and regulations related to land revenue in the state of Maharashtra, India. It includes provisions regarding the preparation, maintenance, and correction of land records, fines for neglecting to provide information, and other matters related to land ownership and revenue collection."
79q2,"The fine for neglecting to provide information or documents as required by the Maharashtra Land Revenue Code, 1966 is a maximum of five rupees, as specified in section 152 of the code."
79q3,"The information related to the record of rights, as per the Maharashtra Land Revenue Code, 1966, is presumed to be true until the contrary is proved or until the information is duly modified under the provisions of the Code and the rules made thereunder."
79q4,"A Revenue Officer or Talathi may, for the purpose of preparing or revising any map or plan required for or in connection with any record or register under the Maharashtra Land Revenue Code, exercise any of the powers of a Survey Officer under sections 80 and 81, except the power of assessing the cost of hired labor under section 81."
79q5,"Under the Maharashtra Land Revenue Code, costs for the preparation or revision of maps or plans can be assessed by any Revenue Officer of a rank not lower than an Assistant or Deputy Collector or a Survey Officer. These costs, including all contingent expenses, are assessed on the lands to which the maps or plans relate. The assessed costs are then recoverable as a revenue demand."
79q6,"When any document purporting to create, assign, or extinguish any title to, or any charge on, land used for agricultural purposes, or in respect of which a record of rights has been prepared is registered under the Indian Registration Act, 1908, the officer registering the document is required to send intimation to the Talathi of the village in which the land is situated and to the Tahsildar of the taluka. This intimation should be sent in the form and at the times prescribed by rules made under the Maharashtra Land Revenue Code."
79q7,The Collector has the authority to correct or cause to be corrected any clerical errors and errors in the record of rights or registers maintained under the Maharashtra Land Revenue Code.
79q8,"In addition to the map, registers, and record of rights, the Maharashtra Land Revenue Code, 1966 requires that such other land records as may be prescribed need to be prepared for each village. The specific details of these additional land records are not provided in the context provided."
80q1,"According to the Maharashtra Land Revenue Code, 1966, an entry in the record of rights and a certified entry in the register of mutations shall be presumed to be true until the contrary is proved or a new entry is lawfully substituted therefor."
80q2,"No, a suit cannot be filed against the State Government or any officer of the State Government in respect of a claim to have an entry made in any record or register that is maintained under this Chapter or to have any such entry omitted or amended."
80q3,"Until the record of rights of any area in the State is prepared in accordance with the provisions of the Maharashtra Land Revenue Code, 1966, the existing record of rights in force in that area under any law for the time being in force shall be deemed to be the record of rights prepared under this Code."
80q4,"The provisions of sections 161 to 167 of the Maharashtra Land Revenue Code, 1966 apply to those areas in the State to which corresponding provisions applied immediately before the commencement of this Code. Additionally, the State Government has the authority to apply these sections to other specified areas in the State through notification in the Official Gazette."
80q5,"A Nistar Patrak is a document that embodies a scheme of management of all unoccupied land in a village and all matters incidental to it. According to the Maharashtra Land Revenue Code, 1966, the following matters are required to be provided in a Nistar Patrak:

1. The terms and conditions on which grazing of cattle in the village will be permitted.
2. The terms and conditions on which and the extent to which any resident of the village may obtain:
   (a) wood, timber, fuel, or any other forest produce.
   (b) moram, kankar, sand, earth, clay, stones, or any other minor minerals."
